,Unnamed: 0,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
58,11578,MYSRES13DEL02,39.0,5.0,04-04-2022,18:45,18:55,Fog,Medium,2,Drinks,scooter,0.0,No,Metropolitian,38,20002.520251316815
59,21122,GOARES03DEL01,35.0,3.8,16-02-2022,22:35,22:50,Cloudy,Low,2,Meal,scooter,2.0,No,Metropolitian,34,20002.520251316815
60,3396,CHENRES05DEL03,32.0,4.8,11-03-2022,18:45,18:50,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520251316815
61,38380,VADRES19DEL01,34.0,3.6,10-03-2022,21:30,21:45,Windy,Jam,1,Snack,scooter,1.0,No,Metropolitian,40,20002.5202513016
62,31504,JAPRES15DEL03,26.0,5.0,02-03-2022,23:25,23:30,Windy,Low,1,Buffet,scooter,,No,Metropolitian,14,20002.520251297814
63,32118,CHENRES18DEL02,37.0,4.5,03-03-2022,08:10,08:20,Cloudy,Low,2,Buffet,electric_scooter,1.0,No,Urban,18,20002.520251297814
64,6383,JAPRES13DEL02,24.0,4.5,03-04-2022,19:50,19:55,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,22,20002.520251297814
65,24750,SURRES16DEL01,28.0,4.6,24-03-2022,10:25,10:30,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,19,20002.520251297814
66,42350,CHENRES01DEL03,32.0,4.1,27-03-2022,19:20,19:25,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,33,20002.52025128374
67,39243,BANGRES07DEL02,32.0,4.6,06-04-2022,22:10,22:25,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Urban,23,20002.52025128374
68,13999,SURRES02DEL02,26.0,4.9,02-03-2022,18:10,18:15,Cloudy,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,39,20002.52025128374
69,15226,PUNERES11DEL01,31.0,4.7,04-04-2022,23:10,23:15,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Urban,28,20002.520251244823
70,1487,HYDRES11DEL03,20.0,4.3,14-03-2022,21:30,21:45,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,35,20002.520251244823
71,11854,COIMBRES18DEL01,38.0,4.6,06-04-2022,21:20,21:30,Windy,Jam,0,Buffet,motorcycle,2.0,Yes,Urban,45,20002.520251244823
72,12064,KOLRES11DEL02,27.0,4.6,12-02-2022,19:20,19:30,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,29,20002.520251244823
73,38188,MUMRES15DEL02,34.0,4.8,28-03-2022,21:10,21:25,Windy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,42,20002.520251244823
74,15943,HYDRES16DEL02,23.0,4.8,21-03-2022,20:50,20:55,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.520251244823
75,36691,BANGRES03DEL02,34.0,4.9,17-03-2022,08:40,08:45,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,21,20002.520251244823
76,41827,INDORES18DEL01,,,01-04-2022,,13:20,,,3,Snack,scooter,1.0,No,Urban,31,20002.520251240134
77,42028,RANCHIRES010DEL03,30.0,4.6,16-03-2022,0.75,18:10,Fog,Medium,2,Drinks,scooter,1.0,No,Urban,37,20002.520251240134
78,5841,INDORES01DEL01,21.0,4.7,18-03-2022,20:35,20:45,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,23,20002.520251240134
79,44624,RANCHIRES07DEL03,27.0,4.2,31-03-2022,20:25,20:30,Fog,Jam,2,Meal,scooter,2.0,No,Metropolitian,36,20002.520251240134
80,15219,CHENRES12DEL02,30.0,4.7,21-03-2022,0.958333333,23:15,Fog,Low,0,Drinks,motorcycle,1.0,No,Urban,28,20002.520251131635
81,29221,INDORES04DEL01,36.0,5.0,17-03-2022,0.625,15:05,Stormy,High,1,Drinks,scooter,1.0,No,Urban,34,20002.520251131635
82,7732,SURRES15DEL02,36.0,4.9,11-03-2022,10:40,10:50,Sunny,Low,0,Meal,motorcycle,0.0,No,Urban,20,20002.520251131635
83,20772,HYDRES09DEL03,22.0,4.8,05-04-2022,20:35,20:40,Sandstorms,Jam,1,Meal,scooter,1.0,No,Metropolitian,25,20002.520251131635
84,8445,CHENRES17DEL01,29.0,4.7,14-03-2022,18:50,19:05,Sandstorms,Medium,1,Meal,scooter,1.0,No,Metropolitian,22,20002.520251131635
85,39934,COIMBRES14DEL02,32.0,4.9,24-03-2022,18:20,18:25,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,19,20002.520250757818
86,19910,PUNERES12DEL01,22.0,4.6,05-03-2022,14:50,15:05,Fog,High,2,Buffet,electric_scooter,1.0,No,Urban,33,20002.520250746285
87,15801,PUNERES16DEL02,26.0,4.7,29-03-2022,23:35,23:50,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,26,20002.520250746285
88,32932,BANGRES01DEL02,,,26-03-2022,,23:05,Sandstorms,Low,1,Snack,scooter,,No,Metropolitian,19,20002.520250746285
89,24291,COIMBRES14DEL01,29.0,4.9,11-03-2022,08:50,0.375,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,20002.52025073624
90,39428,CHENRES08DEL03,37.0,4.9,15-03-2022,22:15,22:30,Sunny,Low,1,Snack,motorcycle,0.0,No,Urban,12,20002.52025073624
91,3221,MYSRES14DEL01,35.0,5.0,02-04-2022,20:55,21:10,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,45,20002.52025073509
92,21714,HYDRES03DEL02,37.0,4.1,05-04-2022,19:45,19:50,Stormy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,33,20002.520250734502
93,14337,CHENRES12DEL02,29.0,5.0,31-03-2022,19:30,19:45,Sunny,Jam,1,Snack,scooter,1.0,No,Metropolitian,16,20002.520250734502
94,20483,BANGRES09DEL01,22.0,5.0,09-03-2022,12:30,12:45,Sandstorms,High,0,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520250731694
95,26011,MYSRES02DEL02,39.0,4.6,05-04-2022,10:15,10:25,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.520250729507
96,42238,BANGRES18DEL02,27.0,4.5,01-03-2022,11:15,11:25,Sandstorms,High,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.52025072816
97,44645,RANCHIRES14DEL02,25.0,4.7,28-03-2022,21:55,22:10,Cloudy,Jam,1,Buffet,scooter,0.0,No,Urban,20,20002.52024937982
98,43255,PUNERES16DEL01,34.0,5.0,07-03-2022,15:55,0.666666667,Fog,Medium,2,Snack,scooter,1.0,No,Metropolitian,16,20002.52024937982
99,22772,INDORES05DEL01,23.0,4.8,17-03-2022,11:55,12:05,Fog,High,2,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.520249372465
100,4155,SURRES07DEL02,,,25-03-2022,,19:20,Fog,Jam,0,Buffet,motorcycle,3.0,Yes,Urban,44,20002.520249370904
101,16323,KNPRES08DEL02,23.0,4.8,16-02-2022,20:10,20:15,Stormy,Jam,2,Meal,electric_scooter,1.0,No,Urban,26,20002.520249370886
102,19998,HYDRES05DEL02,34.0,5.0,05-04-2022,17:25,17:40,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,30,20002.520249370304
103,29582,BANGRES14DEL01,30.0,4.7,07-03-2022,11:25,11:40,Sunny,High,1,Meal,motorcycle,0.0,No,Urban,15,20002.520246778717
104,9538,JAPRES11DEL01,30.0,4.1,12-03-2022,22:20,22:30,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Urban,39,20002.520246778717
105,17728,JAPRES12DEL03,28.0,4.7,14-03-2022,23:35,23:45,Sunny,Low,1,Snack,scooter,1.0,No,Urban,27,20002.520246778717
106,36952,PUNERES15DEL01,22.0,4.9,29-03-2022,21:20,21:30,Stormy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,20002.520246757063
107,16276,JAPRES13DEL03,25.0,4.9,06-04-2022,17:35,17:40,Sandstorms,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,17,20002.520246727137
108,1812,MYSRES010DEL03,24.0,4.6,18-03-2022,21:55,22:10,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,,29,20002.520246727137
109,297,HYDRES16DEL01,27.0,4.6,16-03-2022,17:55,0.75,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,20,20002.520246727
110,18508,HYDRES07DEL01,21.0,4.9,04-03-2022,21:55,0.916666667,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Urban,16,20002.52024672258
111,23374,JAPRES12DEL01,28.0,4.9,23-03-2022,21:25,21:30,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.52024672258
112,43297,COIMBRES07DEL03,24.0,4.7,27-03-2022,21:30,21:45,Windy,Jam,1,Buffet,scooter,1.0,No,Urban,19,20002.52024672258
113,19849,SURRES20DEL01,38.0,4.9,14-03-2022,23:25,23:35,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,23,20002.52024672258
114,38848,BANGRES08DEL02,20.0,4.7,13-03-2022,08:25,08:40,Sandstorms,Low,1,Drinks,motorcycle,0.0,,Urban,11,20002.520246720676
115,33981,HYDRES09DEL01,34.0,4.9,15-03-2022,15:40,15:50,Cloudy,Medium,1,Meal,scooter,0.0,No,Metropolitian,18,20002.520246720676
116,2582,PUNERES17DEL01,33.0,5.0,03-03-2022,16:30,16:35,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,35,20002.520246720676
117,44411,INDORES08DEL02,39.0,4.9,27-03-2022,23:20,23:25,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520246720676
118,10159,CHENRES06DEL02,,,21-03-2022,,12:05,,,0,Buffet,motorcycle,1.0,No,Metropolitian,38,20002.520246720676
119,13152,MYSRES03DEL03,37.0,4.6,18-03-2022,18:50,18:55,Sandstorms,Medium,2,Snack,scooter,1.0,No,Metropolitian,28,20002.520246707933
120,3923,SURRES07DEL01,28.0,4.7,04-04-2022,18:40,18:45,Fog,Medium,2,Meal,scooter,1.0,No,Metropolitian,39,20002.520246707933
121,27400,INDORES19DEL02,29.0,4.6,06-04-2022,23:30,23:45,Sandstorms,Low,2,Meal,scooter,0.0,No,Urban,13,20002.520246707933
122,25170,COIMBRES20DEL01,,,25-03-2022,,19:15,Sunny,Medium,2,Snack,electric_scooter,0.0,No,Metropolitian,19,20002.520246707933
123,13558,VADRES19DEL01,34.0,4.6,23-03-2022,21:25,21:30,Stormy,Jam,1,Drinks,scooter,,No,Metropolitian,26,20002.520246707667
124,16152,MUMRES14DEL02,32.0,5.0,24-03-2022,1,24:15:00,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,16,20002.520246707667
125,35223,COIMBRES14DEL02,30.0,4.1,05-04-2022,0.833333333,20:05,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,44,20002.520246707667
126,37490,SURRES04DEL02,35.0,4.6,14-03-2022,23:50,1,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,15,20002.52024670747
127,39875,BANGRES05DEL01,32.0,4.9,10-03-2022,22:35,22:45,Sunny,Low,2,Buffet,scooter,1.0,No,Urban,21,20002.52024670747
128,314,RANCHIRES12DEL02,36.0,4.7,13-03-2022,11:50,0.5,Sandstorms,High,2,Meal,scooter,2.0,No,Metropolitian,32,20002.52024670747
129,11915,MUMRES09DEL01,23.0,4.9,28-03-2022,0.416666667,10:10,Cloudy,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,15,20002.52024670747
130,17418,PUNERES010DEL01,36.0,4.6,01-04-2022,12:40,12:50,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,25,20002.520246705953
131,26192,RANCHIRES07DEL02,38.0,4.4,05-03-2022,11:40,11:45,Windy,High,2,Drinks,scooter,0.0,No,Metropolitian,32,20002.520246702705
132,39389,VADRES11DEL01,22.0,4.6,04-04-2022,0.791666667,19:05,Windy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,29,20002.520246702705
133,38291,HYDRES14DEL03,30.0,4.9,30-03-2022,23:10,23:25,Sunny,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,20002.520246702705
134,43540,SURRES17DEL02,33.0,4.3,25-03-2022,0.791666667,19:05,Windy,Medium,0,Meal,motorcycle,1.0,No,Urban,31,20002.520246701788
135,27417,HYDRES01DEL03,27.0,4.6,24-03-2022,18:10,18:20,Sunny,Medium,2,Snack,electric_scooter,1.0,No,Urban,13,20002.520246701788
136,44875,SURRES15DEL01,38.0,5.0,17-03-2022,09:50,10:05,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,28,20002.520246701002
137,9826,INDORES17DEL01,38.0,3.9,02-03-2022,20:55,21:05,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,41,20002.520246701002
138,5715,JAPRES11DEL01,26.0,4.9,28-03-2022,08:35,08:45,Cloudy,Low,2,Meal,motorcycle,1.0,No,Metropolitian,11,20002.520246698172
139,3104,KOLRES16DEL02,27.0,4.9,18-02-2022,17:20,17:25,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,20002.520246698172
140,40633,CHENRES13DEL03,37.0,4.8,30-03-2022,20:15,20:25,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,46,20002.520246698172
141,8090,JAPRES12DEL01,21.0,4.8,20-03-2022,22:25,22:40,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Urban,24,20002.52024669764
142,24677,COIMBRES09DEL01,30.0,4.2,12-03-2022,0.875,21:10,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,41,20002.52024669764
143,21937,ALHRES07DEL03,34.0,3.5,18-02-2022,20:10,20:15,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,41,20002.52024669764
144,17770,INDORES09DEL02,32.0,5.0,12-03-2022,17:50,17:55,Windy,Medium,2,Snack,scooter,1.0,No,Metropolitian,20,20002.520246675424
145,20628,DEHRES08DEL02,20.0,4.8,13-02-2022,11:50,12:05,Stormy,High,0,Snack,motorcycle,,No,Metropolitian,27,20002.520246675424
146,27375,MYSRES12DEL01,30.0,4.8,23-03-2022,23:25,23:35,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,23,20002.520246593318
147,17725,INDORES09DEL02,29.0,3.5,29-03-2022,23:40,23:45,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,42,20002.520246590557
148,501,COIMBRES13DEL01,20.0,4.9,02-04-2022,17:25,17:30,Stormy,Medium,1,Drinks,scooter,1.0,No,Urban,17,20002.520246590557
149,5522,COIMBRES19DEL02,38.0,4.3,13-03-2022,0.833333333,20:15,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Urban,31,20002.520246555083
150,33948,INDORES13DEL02,37.0,4.6,23-03-2022,18:30,18:40,Cloudy,Medium,1,Drinks,scooter,1.0,No,Urban,38,20002.520246554475
151,42255,PUNERES13DEL03,36.0,5.0,05-04-2022,0.833333333,20:15,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.520246552744
152,8708,BANGRES20DEL03,31.0,4.9,06-04-2022,0.833333333,20:05,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,30,20002.520246551907
153,8790,VADRES01DEL03,36.0,4.8,14-03-2022,18:30,18:40,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,34,20002.520246551685
154,36382,CHENRES07DEL03,35.0,4.8,27-03-2022,18:30,18:40,Sandstorms,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,28,20002.520246551685
155,30914,SURRES02DEL02,34.0,4.5,19-03-2022,11:45,0.5,Fog,High,1,Snack,scooter,0.0,No,Urban,27,20002.520246549764
156,1000,COIMBRES16DEL02,30.0,4.7,01-03-2022,18:50,19:05,Stormy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,20002.520246535296
157,7725,AURGRES09DEL02,37.0,4.5,14-02-2022,23:30,23:40,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,34,20002.520246529726
158,9035,BHPRES14DEL01,32.0,4.9,11-02-2022,08:55,0.375,Sunny,Low,2,Meal,scooter,1.0,No,Metropolitian,17,20002.520246529526
159,1219,KNPRES09DEL03,28.0,4.6,13-02-2022,21:20,21:25,Sandstorms,Jam,1,Snack,motorcycle,1.0,No,,11,20002.520245988526
160,21261,RANCHIRES03DEL01,32.0,4.6,28-03-2022,14:35,14:45,Windy,High,0,Snack,motorcycle,1.0,No,Metropolitian,30,20002.520245988526
161,6224,PUNERES09DEL01,29.0,4.6,02-04-2022,22:25,22:35,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,28,20002.520245988526
162,11269,GOARES13DEL02,20.0,3.9,11-02-2022,11:50,12:05,Sunny,High,0,Snack,motorcycle,2.0,No,Metropolitian,42,20002.520245988526
163,16207,JAPRES01DEL02,25.0,4.8,02-03-2022,17:40,17:45,Stormy,Medium,1,Drinks,scooter,0.0,No,Urban,16,20002.520245978496
164,3401,KOLRES20DEL03,26.0,4.7,14-02-2022,21:20,21:35,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,22,20002.520245978052
165,6282,BANGRES01DEL02,22.0,5.0,24-03-2022,11:25,11:40,Cloudy,High,2,Meal,scooter,0.0,No,Metropolitian,25,20002.520245978052
166,25148,JAPRES14DEL02,32.0,5.0,21-03-2022,08:30,08:35,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20002.520245978052
167,35244,BANGRES13DEL01,24.0,5.0,03-04-2022,10:35,10:40,Fog,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,11,20002.520245978052
168,2851,HYDRES06DEL02,25.0,4.9,18-03-2022,21:45,21:50,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.520245978052
